"title","roles","person","born"
"Something's Gotta Give","Julian Mercer","Keanu Reeves","1970"
"Johnny Mnemonic","Johnny Mnemonic","Keanu Reeves","1970"
"The Replacements","Shane Falco","Keanu Reeves","1970"
"The Devil's Advocate","Kevin Lomax","Keanu Reeves","1970"
"The Matrix Revolutions","Neo","Keanu Reeves","1970"
"The Matrix Reloaded","Neo","Keanu Reeves","1970"
"The Matrix","Neo","Keanu Reeves","1970"
"The Matrix Revolutions","Trinity","Carrie-Anne Moss","1970"
"The Matrix Reloaded","Trinity","Carrie-Anne Moss","1970"
"The Matrix","Trinity","Carrie-Anne Moss","1970"
"The Matrix Revolutions","Morpheus","Laurence Fishburne","1970"
"The Matrix Reloaded","Morpheus","Laurence Fishburne","1970"
"The Matrix","Morpheus","Laurence Fishburne","1970"
"V for Vendetta","V","Hugo Weaving","1970"
"Cloud Atlas","Bill Smoke;Haskell Moore;Tadeusz Kesselring;Nurse Noakes;Boardman Mephi;Old Georgie","Hugo Weaving","1970"
"The Matrix Revolutions","Agent Smith","Hugo Weaving","1970"
"The Matrix Reloaded","Agent Smith","Hugo Weaving","1970"
"The Matrix","Agent Smith","Hugo Weaving","1970"
"The Matrix","Emil","Emil Eifrem","1970"
"That Thing You Do","Tina","Charlize Theron","1970"
"The Devil's Advocate","Mary Ann Lomax","Charlize Theron","1970"
"The Devil's Advocate","John Milton","Al Pacino","1970"
"Jerry Maguire","Jerry Maguire","Tom Cruise","1970"
"Top Gun","Maverick","Tom Cruise","1970"
"A Few Good Men","Lt. Daniel Kaffee","Tom Cruise","1970"
"Something's Gotta Give","Harry Sanborn","Jack Nicholson","1970"
"One Flew Over the Cuckoo's Nest","Randle McMurphy","Jack Nicholson","1970"
"Hoffa","Hoffa","Jack Nicholson","1970"
"As Good as It Gets","Melvin Udall","Jack Nicholson","1970"
"A Few Good Men","Col. Nathan R. Jessup","Jack Nicholson","1970"
"A Few Good Men","Lt. Cdr. JoAnne Galloway","Demi Moore","1970"
"Apollo 13","Jack Swigert","Kevin Bacon","1970"
"Frost/Nixon","Jack Brennan","Kevin Bacon","1970"
"A Few Good Men","Capt. Jack Ross","Kevin Bacon","1970"
"Stand By Me","Ace Merrill","Kiefer Sutherland","1970"
"A Few Good Men","Lt. Jonathan Kendrick","Kiefer Sutherland","1970"
"A Few Good Men","Cpl. Jeffrey Barnes","Noah Wyle","1970"
"What Dreams May Come","Albert Lewis","Cuba Gooding Jr.","1970"
"As Good as It Gets","Frank Sachs","Cuba Gooding Jr.","1970"
"Jerry Maguire","Rod Tidwell","Cuba Gooding Jr.","1970"
"A Few Good Men","Cpl. Carl Hammaker","Cuba Gooding Jr.","1970"
"A Few Good Men","Lt. Sam Weinberg","Kevin Pollak","1970"
"Hoffa","Frank Fitzsimmons","J.T. Walsh","1970"
"A Few Good Men","Lt. Col. Matthew Andrew Markinson","J.T. Walsh","1970"
"A Few Good Men","Pfc. Louden Downey","James Marshall","1970"
"A Few Good Men","Dr. Stone","Christopher Guest","1970"
"A Few Good Men","Man in Bar","Aaron Sorkin","1970"
"Top Gun","Charlie","Kelly McGillis","1970"
"Top Gun","Iceman","Val Kilmer","1970"
"Top Gun","Goose","Anthony Edwards","1970"
"Top Gun","Viper","Tom Skerritt","1970"
"When Harry Met Sally","Sally Albright","Meg Ryan","1970"
"Joe Versus the Volcano","DeDe;Angelica Graynamore;Patricia Graynamore","Meg Ryan","1970"
"Sleepless in Seattle","Annie Reed","Meg Ryan","1970"
"You've Got Mail","Kathleen Kelly","Meg Ryan","1970"
"Top Gun","Carole","Meg Ryan","1970"
"Jerry Maguire","Dorothy Boyd","Renee Zellweger","1970"
"Jerry Maguire","Avery Bishop","Kelly Preston","1970"
"Stand By Me","Vern Tessio","Jerry O'Connell","1970"
"Jerry Maguire","Frank Cushman","Jerry O'Connell","1970"
"Jerry Maguire","Bob Sugar","Jay Mohr","1970"
"The Green Mile","Jan Edgecomb","Bonnie Hunt","1970"
"Jerry Maguire","Laurel Boyd","Bonnie Hunt","1970"
"Jerry Maguire","Marcee Tidwell","Regina King","1970"
"Jerry Maguire","Ray Boyd","Jonathan Lipnicki","1970"
"Stand By Me","Chris Chambers","River Phoenix","1970"
"Stand By Me","Teddy Duchamp","Corey Feldman","1970"
"Stand By Me","Gordie Lachance","Wil Wheaton","1970"
"Stand By Me","Denny Lachance","John Cusack","1970"
"RescueDawn","Admiral","Marshall Bell","1970"
"Stand By Me","Mr. Lachance","Marshall Bell","1970"
"Cast Away","Kelly Frears","Helen Hunt","1970"
"Twister","Dr. Jo Harding","Helen Hunt","1970"
"As Good as It Gets","Carol Connelly","Helen Hunt","1970"
"You've Got Mail","Frank Navasky","Greg Kinnear","1970"
"As Good as It Gets","Simon Bishop","Greg Kinnear","1970"
"What Dreams May Come","Simon Bishop","Annabella Sciorra","1970"
"Snow Falling on Cedars","Nels Gudmundsson","Max von Sydow","1970"
"What Dreams May Come","The Tracker","Max von Sydow","1970"
"What Dreams May Come","The Face","Werner Herzog","1970"
"Bicentennial Man","Andrew Marin","Robin Williams","1970"
"The Birdcage","Armand Goldman","Robin Williams","1970"
"What Dreams May Come","Chris Nielsen","Robin Williams","1970"
"Snow Falling on Cedars","Ishmael Chambers","Ethan Hawke","1970"
"Ninja Assassin","Takeshi","Rick Yune","1970"
"Snow Falling on Cedars","Kazuo Miyamoto","Rick Yune","1970"
"The Green Mile","Warden Hal Moores","James Cromwell","1970"
"Snow Falling on Cedars","Judge Fielding","James Cromwell","1970"
"You've Got Mail","Patricia Eden","Parker Posey","1970"
"You've Got Mail","Kevin Jackson","Dave Chappelle","1970"
"RescueDawn","Duane","Steve Zahn","1970"
"You've Got Mail","George Pappas","Steve Zahn","1970"
